date,description,amount
2025-11-04,GEICO AUTO PAY,-132.40
2025-11-04,CHATGPT PLUS,-20.00
2025-11-06,CANVA* MONTHLY,-12.99
2025-11-06,APPLE.COM/BILL iCloud+,-2.99
2025-11-11,NETFLIX.COM,-22.99
2025-11-13,NYTimes*All Access,-17.00
2025-11-20,Adobe Creative Cloud,-54.99
2025-11-21,SPOTIFY USA,-11.99
2025-11-25,Planet Fitness Black,-24.99
2025-11-27,VERIZON WIRELESS,-85.00
2025-12-01,GEICO AUTO PAY,-132.40
2025-12-02,Hulu*HULU,-17.99
2025-12-05,CHATGPT PLUS,-20.00
2025-12-06,APPLE.COM/BILL iCloud+,-2.99
2025-12-08,CANVA* MONTHLY,-12.99
2025-12-11,NETFLIX.COM,-22.99
2025-12-13,NYTimes*All Access,-17.00
2025-12-20,Adobe Creative Cloud,-54.99
2025-12-21,SPOTIFY USA,-11.99
2025-12-25,Planet Fitness Black,-24.99
2025-12-27,VERIZON WIRELESS,-85.00
2026-01-01,Hulu*HULU,-17.99
2026-01-04,GEICO AUTO PAY,-132.40
2026-01-06,CANVA* MONTHLY,-12.99
2026-01-06,APPLE.COM/BILL iCloud+,-2.99
2026-01-06,CHATGPT PLUS,-20.00
2026-01-11,NETFLIX.COM,-22.99
2026-01-15,NYTimes*All Access,-17.00
2026-01-21,SPOTIFY USA,-11.99
2026-01-21,Adobe Creative Cloud,-54.99
2026-01-26,VERIZON WIRELESS,-85.00
2026-02-03,Hulu*HULU,-17.99
2026-02-03,GEICO AUTO PAY,-132.40
2026-02-04,CHATGPT PLUS,-20.00
2026-02-06,APPLE.COM/BILL iCloud+,-2.99
2026-02-07,CANVA* MONTHLY,-12.99
2026-02-11,NETFLIX.COM,-22.99
2026-02-13,NYTimes*All Access,-17.00
2026-02-21,SPOTIFY USA,-11.99
2026-02-22,Adobe Creative Cloud,-54.99
2026-02-27,VERIZON WIRELESS,-85.00
2026-03-01,Hulu*HULU,-17.99
2026-03-03,GEICO AUTO PAY,-132.40
2026-03-05,CHATGPT PLUS,-20.00
2026-03-06,APPLE.COM/BILL iCloud+,-2.99
2026-03-08,CANVA* MONTHLY,-12.99
2026-03-11,NETFLIX.COM,-22.99
2026-03-13,NYTimes*All Access,-17.00
2026-03-20,Adobe Creative Cloud,-54.99
2026-03-21,SPOTIFY USA,-11.99
2026-03-25,VERIZON WIRELESS,-85.00
2026-04-01,Hulu*HULU,-17.99
2026-04-01,GEICO AUTO PAY,-132.40
2026-04-05,CHATGPT PLUS,-20.00
2026-04-06,APPLE.COM/BILL iCloud+,-2.99
2026-04-08,CANVA* MONTHLY,-12.99
2026-04-11,NETFLIX.COM,-22.99
2026-04-15,NYTimes*All Access,-17.00
2026-04-21,SPOTIFY USA,-11.99
2026-04-22,Adobe Creative Cloud,-54.99
2026-04-24,VERIZON WIRELESS,-85.00
