date,description,amount
2025-07-05,WHOLE FOODS MARKET,-24.70
2025-07-06,APPLE.COM/BILL iCloud+,-2.99
2025-07-07,DOORDASH*RAMEN,-26.11
2025-07-07,DELTA AIR LINES,-323.41
2025-07-08,CANVA* MONTHLY,-12.99
2025-07-10,AUDIBLE*MEMBERSHIP,-14.95
2025-07-11,NETFLIX.COM,-22.99
2025-07-13,UBER TRIP,-23.65
2025-07-13,TRADER JOE'S #112,-55.11
2025-07-14,WHOLE FOODS MARKET,-99.34
2025-07-15,NYTimes*All Access,-17.00
2025-07-15,ACME CORP PAYROLL,3836.93
2025-07-15,APPLE.COM/BILL,-8.25
2025-07-20,DOORDASH*RAMEN,-41.65
2025-07-21,SPOTIFY USA,-11.99
2025-07-21,Adobe Creative Cloud,-54.99
2025-07-21,HOME DEPOT #6710,-69.47
2025-07-24,Planet Fitness Black,-24.99
2025-07-27,VERIZON WIRELESS,-85.00
2025-07-27,APPLE.COM/BILL,-1.01
2025-08-01,Hulu*HULU,-17.99
2025-08-01,STARBUCKS #4421,-8.00
2025-08-01,AMAZON.COM*MK4LJ,-30.38
2025-08-03,GEICO AUTO PAY,-132.40
2025-08-04,CHATGPT PLUS,-20.00
2025-08-05,TRADER JOE'S #112,-53.20
2025-08-06,APPLE.COM/BILL iCloud+,-2.99
2025-08-07,AIRBNB * HMQRX,-285.23
2025-08-08,CANVA* MONTHLY,-12.99
2025-08-11,NETFLIX.COM,-22.99
2025-08-11,AUDIBLE*MEMBERSHIP,-14.95
2025-08-11,APPLE.COM/BILL,-3.32
2025-08-14,NYTimes*All Access,-17.00
2025-08-15,ACME CORP PAYROLL,3856.63
2025-08-17,SHELL OIL 12345,-38.42
2025-08-18,WHOLE FOODS MARKET,-75.73
2025-08-20,Adobe Creative Cloud,-54.99
2025-08-21,SPOTIFY USA,-11.99
2025-08-21,TRADER JOE'S #112,-31.68
2025-08-22,DOORDASH*RAMEN,-40.50
2025-08-22,DOORDASH*RAMEN,-32.00
2025-08-24,Planet Fitness Black,-24.99
2025-08-24,VERIZON WIRELESS,-85.00
2025-08-24,HOME DEPOT #6710,-70.82
2025-08-27,APPLE.COM/BILL,-6.35
2025-08-27,CHIPOTLE 0987,-10.18
2025-08-31,GEICO AUTO PAY,-132.40
2025-09-01,Hulu*HULU,-17.99
2025-09-04,TRADER JOE'S #112,-61.17
2025-09-05,CVS/PHARMACY,-32.06
2025-09-05,WHOLE FOODS MARKET,-68.40
2025-09-06,CANVA* MONTHLY,-12.99
2025-09-06,APPLE.COM/BILL iCloud+,-2.99
2025-09-06,CHATGPT PLUS,-20.00
2025-09-09,AMAZON.COM*MK4LJ,-15.08
2025-09-09,TRADER JOE'S #112,-54.40
2025-09-10,AUDIBLE*MEMBERSHIP,-14.95
2025-09-11,NETFLIX.COM,-22.99
2025-09-14,NYTimes*All Access,-17.00
2025-09-15,ACME CORP PAYROLL,3895.31
2025-09-15,UBER TRIP,-14.51
2025-09-16,CVS/PHARMACY,-44.43
2025-09-17,CVS/PHARMACY,-6.92
2025-09-17,UBER TRIP,-17.04
2025-09-18,UBER TRIP,-9.14
2025-09-20,CVS/PHARMACY,-31.10
2025-09-21,SPOTIFY USA,-11.99
2025-09-22,Adobe Creative Cloud,-54.99
2025-09-22,TARGET T-1198,-79.79
2025-09-25,DOORDASH*RAMEN,-22.39
2025-09-25,STARBUCKS #4421,-8.00
2025-09-25,STARBUCKS #4421,-8.47
2025-09-26,Planet Fitness Black,-24.99
2025-09-26,VERIZON WIRELESS,-85.00
2025-09-27,CHIPOTLE 0987,-17.26
2025-10-01,Hulu*HULU,-17.99
2025-10-03,GEICO AUTO PAY,-132.40
2025-10-04,CHATGPT PLUS,-20.00
2025-10-06,APPLE.COM/BILL iCloud+,-2.99
2025-10-07,HOME DEPOT #6710,-137.92
2025-10-08,CANVA* MONTHLY,-12.99
2025-10-08,DOORDASH*RAMEN,-35.92
2025-10-09,HOME DEPOT #6710,-149.34
2025-10-09,WHOLE FOODS MARKET,-108.52
2025-10-10,AUDIBLE*MEMBERSHIP,-14.95
2025-10-10,LYFT *RIDE,-20.33
2025-10-11,NETFLIX.COM,-22.99
2025-10-11,DOORDASH*RAMEN,-19.74
2025-10-13,UBER TRIP,-25.70
2025-10-13,CVS/PHARMACY,-22.62
2025-10-14,NYTimes*All Access,-17.00
2025-10-14,WHOLE FOODS MARKET,-33.92
2025-10-14,AMAZON.COM*MK4LJ,-17.34
2025-10-15,ACME CORP PAYROLL,3869.05
2025-10-16,DELTA AIR LINES,-332.33
2025-10-21,SPOTIFY USA,-11.99
2025-10-21,Adobe Creative Cloud,-54.99
2025-10-21,TRADER JOE'S #112,-67.92
2025-10-22,WHOLE FOODS MARKET,-103.58
2025-10-23,AMAZON.COM*MK4LJ,-50.19
2025-10-23,WHOLE FOODS MARKET,-64.29
2025-10-25,Planet Fitness Black,-24.99
2025-10-25,HOME DEPOT #6710,-43.31
2025-10-28,VERIZON WIRELESS,-85.00
2025-11-01,TARGET T-1198,-57.25
2025-11-02,SHELL OIL 12345,-61.71
2025-11-03,Hulu*HULU,-17.99
2025-11-04,GEICO AUTO PAY,-132.40
2025-11-04,CHATGPT PLUS,-20.00
2025-11-04,HOME DEPOT #6710,-33.60
2025-11-05,CHIPOTLE 0987,-13.83
2025-11-06,CANVA* MONTHLY,-12.99
2025-11-06,APPLE.COM/BILL iCloud+,-2.99
2025-11-09,WHOLE FOODS MARKET,-96.07
2025-11-11,NETFLIX.COM,-22.99
2025-11-11,AUDIBLE*MEMBERSHIP,-14.95
2025-11-11,TARGET T-1198,-26.52
2025-11-11,CHIPOTLE 0987,-13.66
2025-11-13,NYTimes*All Access,-17.00
2025-11-14,AIRBNB * HMQRX,-289.92
2025-11-15,ACME CORP PAYROLL,3851.55
2025-11-15,DOORDASH*RAMEN,-34.88
2025-11-17,SHELL OIL 12345,-63.63
2025-11-19,CVS/PHARMACY,-30.24
2025-11-20,Adobe Creative Cloud,-54.99
2025-11-21,SPOTIFY USA,-11.99
2025-11-25,Planet Fitness Black,-24.99
2025-11-26,UBER TRIP,-12.57
2025-11-27,VERIZON WIRELESS,-85.00
2025-11-27,LYFT *RIDE,-23.08
2025-12-01,GEICO AUTO PAY,-132.40
2025-12-01,DOORDASH*RAMEN,-26.14
2025-12-02,Hulu*HULU,-17.99
2025-12-03,LYFT *RIDE,-20.63
2025-12-05,CHATGPT PLUS,-20.00
2025-12-06,APPLE.COM/BILL iCloud+,-2.99
2025-12-06,TRADER JOE'S #112,-52.65
2025-12-06,UBER TRIP,-13.24
2025-12-07,WHOLE FOODS MARKET,-113.36
2025-12-08,CANVA* MONTHLY,-12.99
2025-12-09,AUDIBLE*MEMBERSHIP,-14.95
2025-12-09,UBER TRIP,-9.15
2025-12-09,UBER TRIP,-26.77
2025-12-09,UBER TRIP,-25.26
2025-12-10,LYFT *RIDE,-16.03
2025-12-10,AMAZON.COM*MK4LJ,-44.54
2025-12-11,NETFLIX.COM,-22.99
2025-12-13,NYTimes*All Access,-17.00
2025-12-14,CVS/PHARMACY,-51.41
2025-12-15,ACME CORP PAYROLL,3861.76
2025-12-20,Adobe Creative Cloud,-54.99
2025-12-20,UBER TRIP,-25.12
2025-12-20,SHELL OIL 12345,-34.52
2025-12-21,SPOTIFY USA,-11.99
2025-12-23,CVS/PHARMACY,-17.68
2025-12-25,Planet Fitness Black,-24.99
2025-12-27,VERIZON WIRELESS,-85.00
2026-01-01,Hulu*HULU,-17.99
2026-01-04,GEICO AUTO PAY,-132.40
2026-01-06,CANVA* MONTHLY,-12.99
2026-01-06,APPLE.COM/BILL iCloud+,-2.99
2026-01-06,CHATGPT PLUS,-20.00
2026-01-08,AMAZON.COM*MK4LJ,-37.02
2026-01-09,AUDIBLE*MEMBERSHIP,-14.95
2026-01-09,WHOLE FOODS MARKET,-56.01
2026-01-09,STARBUCKS #4421,-4.18
2026-01-11,NETFLIX.COM,-22.99
2026-01-13,WHOLE FOODS MARKET,-118.96
2026-01-14,SHELL OIL 12345,-35.71
2026-01-15,NYTimes*All Access,-17.00
2026-01-15,ACME CORP PAYROLL,3867.62
2026-01-15,HOME DEPOT #6710,-36.67
2026-01-17,AMAZON.COM*MK4LJ,-46.66
2026-01-17,CHIPOTLE 0987,-11.77
2026-01-17,AIRBNB * HMQRX,-254.11
2026-01-18,DOORDASH*RAMEN,-38.03
2026-01-20,SHELL OIL 12345,-38.48
2026-01-21,SPOTIFY USA,-11.99
2026-01-21,Adobe Creative Cloud,-54.99
2026-01-21,AIRBNB * HMQRX,-206.44
2026-01-21,UBER TRIP,-22.82
2026-01-22,UBER TRIP,-24.83
2026-01-23,AIRBNB * HMQRX,-265.77
2026-01-24,STARBUCKS #4421,-6.53
2026-01-26,VERIZON WIRELESS,-85.00
2026-01-27,STARBUCKS #4421,-4.65
2026-02-01,WHOLE FOODS MARKET,-54.86
2026-02-01,DELTA AIR LINES,-207.26
2026-02-02,APPLE.COM/BILL,-4.54
2026-02-03,Hulu*HULU,-17.99
2026-02-03,GEICO AUTO PAY,-132.40
2026-02-03,AIRBNB * HMQRX,-148.77
2026-02-04,CHATGPT PLUS,-20.00
2026-02-06,APPLE.COM/BILL iCloud+,-2.99
2026-02-07,CANVA* MONTHLY,-12.99
2026-02-07,LYFT *RIDE,-11.22
2026-02-10,HOME DEPOT #6710,-52.07
2026-02-10,SHELL OIL 12345,-52.04
2026-02-11,NETFLIX.COM,-22.99
2026-02-11,AUDIBLE*MEMBERSHIP,-14.95
2026-02-11,TARGET T-1198,-136.58
2026-02-11,CVS/PHARMACY,-17.98
2026-02-13,NYTimes*All Access,-17.00
2026-02-15,ACME CORP PAYROLL,3805.40
2026-02-15,STARBUCKS #4421,-4.93
2026-02-15,SHELL OIL 12345,-30.13
2026-02-16,UBER TRIP,-13.58
2026-02-19,UBER TRIP,-27.15
2026-02-21,SPOTIFY USA,-11.99
2026-02-22,Adobe Creative Cloud,-54.99
2026-02-25,AIRBNB * HMQRX,-151.05
2026-02-27,VERIZON WIRELESS,-85.00
2026-03-01,Hulu*HULU,-17.99
2026-03-02,STARBUCKS #4421,-4.67
2026-03-03,GEICO AUTO PAY,-132.40
2026-03-04,TARGET T-1198,-62.08
2026-03-05,CHATGPT PLUS,-20.00
2026-03-05,LYFT *RIDE,-7.74
2026-03-06,APPLE.COM/BILL iCloud+,-2.99
2026-03-08,CANVA* MONTHLY,-12.99
2026-03-10,AUDIBLE*MEMBERSHIP,-14.95
2026-03-10,WHOLE FOODS MARKET,-92.97
2026-03-11,NETFLIX.COM,-22.99
2026-03-13,NYTimes*All Access,-17.00
2026-03-14,LYFT *RIDE,-19.48
2026-03-15,ACME CORP PAYROLL,3889.95
2026-03-16,AMAZON.COM*MK4LJ,-31.26
2026-03-17,DELTA AIR LINES,-221.79
2026-03-18,DOORDASH*RAMEN,-19.22
2026-03-20,Adobe Creative Cloud,-54.99
2026-03-20,DELTA AIR LINES,-296.85
2026-03-21,SPOTIFY USA,-11.99
2026-03-21,TRADER JOE'S #112,-39.95
2026-03-21,STARBUCKS #4421,-6.66
2026-03-22,AIRBNB * HMQRX,-236.81
2026-03-23,AIRBNB * HMQRX,-298.39
2026-03-23,HOME DEPOT #6710,-116.24
2026-03-24,TARGET T-1198,-138.09
2026-03-25,VERIZON WIRELESS,-85.00
2026-03-25,CVS/PHARMACY,-30.71
2026-03-27,AIRBNB * HMQRX,-280.94
2026-04-01,Hulu*HULU,-17.99
2026-04-01,GEICO AUTO PAY,-132.40
2026-04-03,DELTA AIR LINES,-404.48
2026-04-03,CVS/PHARMACY,-42.54
2026-04-03,CHIPOTLE 0987,-13.31
2026-04-05,CHATGPT PLUS,-20.00
2026-04-06,APPLE.COM/BILL iCloud+,-2.99
2026-04-07,DELTA AIR LINES,-249.22
2026-04-08,CANVA* MONTHLY,-12.99
2026-04-09,AUDIBLE*MEMBERSHIP,-14.95
2026-04-09,DOORDASH*RAMEN,-37.42
2026-04-09,AIRBNB * HMQRX,-166.96
2026-04-10,LYFT *RIDE,-20.04
2026-04-11,NETFLIX.COM,-22.99
2026-04-15,NYTimes*All Access,-17.00
2026-04-15,ACME CORP PAYROLL,3878.00
2026-04-15,LYFT *RIDE,-15.40
2026-04-16,STARBUCKS #4421,-4.30
2026-04-18,CVS/PHARMACY,-10.51
2026-04-20,UBER TRIP,-10.95
2026-04-20,SHELL OIL 12345,-49.87
2026-04-21,SPOTIFY USA,-11.99
2026-04-21,APPLE.COM/BILL,-6.77
2026-04-21,SHELL OIL 12345,-56.01
2026-04-22,Adobe Creative Cloud,-54.99
2026-04-22,SHELL OIL 12345,-33.48
2026-04-24,VERIZON WIRELESS,-85.00
